Physical Properties and Packaging Specifications of MediCapture Devices in metric system,MVR400,MVR409,MVR420,MVR435,MVR436,MVR450,MVR460,MTR133,MTR156,MTR245W,MSP156,MSP245W,MTS101,MTS156,MVC410
Model name,MVR Lite,MVR Pro,MVR,MVR435,MVR436,MVR450,MVR460,MTR133,MTR156,MTR245W,MSP156,MSP245W,MTS101,MTS156,MVC Pro SDI to HDMI
Device GMDN code (Global Medical Device Nomenclature),18034,18034,18034,18034,18034,18034,18034,18034,18034,63260,10977,10977,36612,36612,36947
Device European Medical Device Nomenclature EMDN code,18034,18034,18034,18034,18034,18034,18034,18034,18034,63260,10977,10977,36612,36612,36947
"Size of device, mm",160 x 153 x 40,173 x 153 x 50,160 x 153 x 40,160 x 153 x 40,198 x 138 x 31.25,185 x 220.3 x 60,195 x 220.3 x 71,306.6 x 184 x 32,357.1 x 214.2 x 33,563.8 x 325.6 x 37.5,357.1 x 214.2 x 33,563.8 x 325.6 x 37.5,244.1 x 167.1 x 20.2,357.1 x 214.2 x 22,160 x 153 x 40
"Weight of device, kg",0.9,1.2,0.87,0.77,0.66,1.75,2.1,1.1,1.3,3.5,1.3,3.5,0.63,0.97,0.87
Device GS1 code (GTIN code),00859151005033,00859151005101,00859151005132,00859151005064,00859151005309,00859151005088,00859151005071,00859151005095,00859151005118,00859151005316,00859151005293,00859151005323,00859151005286,00859151005057,00859151995156
Master pack GS1 code (GTIN code),20859151005037,10859151005108,20859151005136,10859151005061,NA,NA,NA,NA,NA,NA,NA,NA,10859151005283,NA,10859151005153
"Size of the Device package box, mm",226 x 200 x 105,226 x 200 x 105,226 x 200 x 105,226 x 200 x 105,226 x 200 x 105,226 x 400 x 105,226 x 400 x 105,265 x 410 x 110,265 x 410 x 110,620 x 380 x 79,265 x 410 x 110,620 x 380 x 79,296 x 207 x 60,410 x 265 x 54,226 x 200 x 105
"Net weight of the device box, kg",1.05,1.58,1.23,1.5,1.5,2.55,2.9,2.0,2.2,4.4,2.2,4.4,0.86,1.33,0.86
"Gross weight of the device box, kg",1.36,1.86,1.73,1.9,1.8,3,3.3,2.8,3,5.8,3,5.8,1.12,1.84,1.12
Number of devices per Master Pack,6,6,6,6,6,3,3,3,3,3,3,3,8,6,6
"Size of Master Pack (L x W x H), cm",44 x 35 x 27,44 x 35 x 27,44 x 35 x 27,44 x 35 x 27,44 x 35 x 27,44 x 35 x 27,44 x 35 x 27,45 x 38 x 32,45 x 38 x 32,65.5 x 28 x 42,45 x 38 x 32,65.5 x 28 x 42,44 x 35 x 27,45 x 38 x 32,44 x 35 x 27
"Net weight of Master Pack, kg",6.3,10.5,7.4,8.7,9,7.64,8.64,7.6,8.2,16.5,8.2,16.5,6.7,8,6.7
"Gross weight of Master Pack, kg",9,13.2,11.2,12,11.6,9.9,10.9,9.6,10.2,18.9,10,18.9,9.9,12,9.9
